572,17,572,34,585,17,585,34,8
544,85,544,115,570,85,570,115,11
512,85,512,115,534,85,534,115,نفر
486,85,486,115,502,85,502,115,از
438,85,438,115,476,85,476,115,طلاب
365,85,365,115,428,85,428,115,حوزه‌های
319,85,319,115,355,85,355,115,علمیه
240,85,240,115,309,85,309,115,آذربایجان
189,85,189,115,230,85,230,115,شرقی
164,85,164,115,179,85,179,115,به
119,85,119,115,154,85,154,115,لباس
45,85,45,115,104,85,104,115,روحانیت
537,120,537,150,575,120,575,150,ملبس
498,120,498,150,534,120,534,150,شدند
527,155,527,185,569,155,569,185,حجت
466,155,466,185,516,155,516,185,الاسلام
384,155,384,185,455,155,455,185,والمسلمین
345,155,345,185,373,155,373,185,سید
268,155,268,185,334,155,334,185,محمدعلی
235,155,235,185,257,155,257,185,آل
188,155,188,185,224,155,224,185,هاشم
158,155,158,185,177,155,177,185,در
106,155,106,185,147,155,147,185,مراسم
45,155,45,185,84,155,84,185,عمامه
514,190,514,220,565,190,565,220,گذاری
474,190,474,220,499,190,499,220,این
408,190,408,220,459,190,459,220,طلبه‌ها،
340,190,340,220,393,190,393,220,وظایف
292,190,292,220,325,190,325,220,آنان
261,190,261,220,277,190,277,220,را
200,190,200,220,246,190,246,220,سنگین
136,190,136,220,185,190,185,220,برشمرد
110,190,110,220,121,190,121,220,و
45,190,45,220,83,190,83,220,گفت:
500,225,500,255,572,225,572,255,روحانیون
463,225,463,255,492,225,492,255,باید
444,225,444,255,455,225,455,255,با
404,225,404,255,436,225,436,255,حفظ
368,225,368,255,396,225,396,255,شأن
349,225,349,255,360,225,360,255,و
291,225,291,255,341,225,341,255,جایگاه
243,225,243,255,283,225,283,255,لباسی
214,225,214,255,235,225,235,255,که
192,225,192,255,206,225,206,255,بر
164,225,164,255,184,225,184,255,تن
117,225,117,255,156,225,156,255,دارند
71,225,71,255,109,225,109,255,نسبت
45,225,45,255,58,225,58,255,به
526,260,526,290,575,260,575,290,شبهات
470,260,470,290,521,260,521,290,موجود
446,260,446,290,465,260,465,290,در
401,260,401,290,441,260,441,290,جامعه
385,260,385,290,396,260,396,290,و
340,260,340,290,380,260,380,290,فضای
285,260,285,290,335,260,335,290,مجازی
232,260,232,290,280,260,280,290,پاسخی
195,260,195,290,227,260,227,290,متقن
152,260,152,290,190,260,190,290,داشته
104,260,104,290,147,260,147,290,باشند.
539,295,539,325,573,295,573,325,وی،
507,295,507,325,532,295,532,325,فقها
489,295,489,325,500,295,500,325,و
416,295,416,325,482,295,482,325,روحانیت
393,295,393,325,409,295,409,325,را
333,295,333,325,386,295,386,325,متصدی
276,295,276,325,326,295,326,325,تربیت،
219,295,219,325,269,295,269,325,هدایت
201,295,201,325,212,295,212,325,و
155,295,155,325,194,295,194,325,ارشاد
114,295,114,325,148,295,148,325,مردم
61,295,61,325,107,295,107,325,دانست
45,295,45,325,56,295,56,325,و
524,330,524,360,568,330,568,360,افزود:
474,330,474,360,512,330,512,360,بدون
421,330,421,360,462,330,462,360,مطالعه
398,330,398,360,409,330,409,360,و
292,330,292,360,386,330,386,360,معلومات،تنها
206,330,206,360,280,330,280,360,ملبس‌بودن
181,330,181,360,194,330,194,360,به
133,330,133,360,169,330,169,360,لباس
45,330,45,360,118,330,118,360,روحانیت،
533,365,533,395,572,365,572,395,کافی
480,365,480,395,525,365,525,395,نیست،
443,365,443,395,472,365,472,395,بلکه
379,365,379,395,435,365,435,395,روحانی
360,365,360,395,371,365,371,395,و
319,365,319,395,352,365,352,395,مبلغ
282,365,282,395,311,365,311,395,باید
204,365,204,395,274,365,274,395,دین‌شناس
157,365,157,395,196,365,196,395,بوده،
105,365,105,395,149,365,149,395,احکام
67,365,67,395,97,365,97,395,الهی
45,365,45,395,56,365,56,395,و
527,400,527,430,575,400,575,430,معارف
493,400,493,430,522,400,522,430,دین
472,400,472,430,488,400,488,430,را
430,400,430,430,467,400,467,430,بداند
414,400,414,430,425,400,425,430,و
336,400,336,430,409,400,409,430,پاسخ‌گوی
282,400,282,430,331,400,331,430,شبهات
240,400,240,430,277,400,277,430,باشد.
549,435,549,465,575,435,575,465,وی
533,435,533,465,544,435,544,465,با
499,435,499,465,528,435,528,465,بیان
450,435,450,465,494,435,494,465,این‌که
423,435,423,465,445,435,445,465,بعد
403,435,403,465,418,435,418,465,از
355,435,355,465,398,435,398,465,شیوع
308,435,308,465,350,435,350,465,کرونا
254,435,254,465,303,435,303,465,شبهات
222,435,222,465,249,435,249,465,علیه
182,435,182,465,217,435,217,465,نظام،
111,435,111,465,177,435,177,465,روحانیت
95,435,95,465,106,435,106,465,و
53,435,53,465,90,435,90,465,اسلام
561,470,561,500,572,470,572,500,با
508,470,508,500,553,470,553,500,اشکال
451,470,451,500,500,470,500,500,دیگری
424,470,424,500,443,470,443,500,در
376,470,376,500,416,470,416,500,فضای
318,470,318,500,368,470,368,500,مجازی
258,470,258,500,310,470,310,500,افزایش
216,470,216,500,250,470,250,500,یافته
169,470,169,500,208,470,208,500,است،
123,470,123,500,161,470,161,500,گفت:
45,470,45,500,111,470,111,500,روحانیت
510,505,510,535,572,505,572,535,پرچمدار
473,505,473,535,502,505,502,535,نظام
417,505,417,535,465,505,465,535,اسلامی
376,505,376,535,409,505,409,535,بوده
357,505,357,535,368,505,368,535,و
303,505,303,535,349,505,349,535,انقلاب
266,505,266,535,295,505,295,535,ملت
221,505,221,535,258,505,258,535,ایران
202,505,202,535,213,505,213,535,با
156,505,156,535,194,505,194,535,همین
72,505,72,535,148,505,148,535,پرچمداری
45,505,45,535,58,505,58,535,به
537,540,537,570,574,540,574,570,نتیجه
486,540,486,570,531,540,531,570,رسیده
